PzYcHO(Legacy) Killed P3N3TRATION(Impact).
iFamous88(Legacy) Killed JRJL(TimeLords).
iFamous88(Legacy) Killed Noroxus(Aeon).
bidumi(Ares) Killed iFamous88(Legacy).
bidumi(Ares) Killed iFamous88(Legacy).
iFamous88(Legacy) Killed bidumi(Ares).
iFamous88(Legacy) Killed Roshia(Fukenoff).
iFamous88(Legacy) Killed Roshia(Fukenoff).
BladeMenace(Whiskey) Killed WoodOfTheMorning(Legacy).
MistyWind(Impact) Killed Nippy(Legacy).
GiaBella(Impact) Killed Nippy(Legacy).
SpiritOfVictory(Impact) Killed Nippy(Legacy).
Happychair(Paragon) Killed Nippy(Legacy).
THANATO(Paragon) Killed Nippy(Legacy).
Nippy(Legacy) Killed Egroj0321(Impact).
Void(Impact) Killed Nippy(Legacy).
Nippy(Legacy) Killed Thoind(Impact).
Nippy(Legacy) Killed Tru(Sky).
Nippy(Legacy) Killed Entiz(Ascension).
Void(Impact) Killed Nippy(Legacy).
Nippy(Legacy) Killed Martin26(Impact).
Thoind(Impact) Killed Nippy(Legacy).
Martin26(Impact) Killed Nippy(Legacy).
ElPaChuCo23(Paragon) Killed Nippy(Legacy).
ДГЕХ(Impact) Killed Nippy(Legacy).
DESTROYER39126(Paragon) Killed Nippy(Legacy).
Nippy(Legacy) Killed DarkPeanut(Paragon).
Nippy(Legacy) Killed khu(Ascension).
empror(Impact) Killed Nippy(Legacy).
Happychair(Paragon) Killed Nippy(Legacy).
Requiem(Impact) Killed Nippy(Legacy).
khu(Ascension) Killed Nippy(Legacy).
Nippy(Legacy) Killed Requiem(Impact).
Nippy(Legacy) Killed Raynm(FairyTail).
Egroj0321(Impact) Killed Nippy(Legacy).
W1NTER(Impact) Killed Nippy(Legacy).
Nippy(Legacy) Killed Overseers(Paragon).
khu(Ascension) Killed Nippy(Legacy).
Nippy(Legacy) Killed Milan(FairyTail).
Nippy(Legacy) Killed SpiritOfVictory(Impact).
ElPaChuCo23(Paragon) Killed Nippy(Legacy).
Nippy(Legacy) Killed GiaBella(Impact).
ДГЕХ(Impact) Killed Nippy(Legacy).
DarkPeanut(Paragon) Killed Nippy(Legacy).
Void(Impact) Killed Nippy(Legacy).
marquerovhin(Legacy) Killed RHYTHMICZ(Paragon).
GiaBella(Impact) Killed Nippy(Legacy).
1nfern0(FairyTail) Killed Nippy(Legacy).
ElPaChuCo23(Paragon) Killed Nippy(Legacy).
DuBZxBEEPz(Paragon) Killed Nippy(Legacy).
ElPaChuCo23(Paragon) Killed Nippy(Legacy).
Nippy(Legacy) Killed JYD757(TinyHerb).
DESTROYER39126(Paragon) Killed Nippy(Legacy).
Overseers(Paragon) Killed iFamous88(Legacy).
DESTROYER39126(Paragon) Killed iFamous88(Legacy).
DESTROYER39126(Paragon) Killed iFamous88(Legacy).
iFamous88(Legacy) Killed Tyrantkill(Paragon).
DESTROYER39126(Paragon) Killed iFamous88(Legacy).
DESTROYER39126(Paragon) Killed iFamous88(Legacy).
iFamous88(Legacy) Killed Lagertha(Paragon).
Nippy(Legacy) Killed dantesparda(Knights).
Nippy(Legacy) Killed drukenmaster(Royalty).
Nippy(Legacy) Killed Cidv(Royalty).
Nippy(Legacy) Killed Gordon#(GUARDIANZ).
Nippy(Legacy) Killed Assassinator(Superstar).
Nippy(Legacy) Killed VOLPE(Superstar).
Nippy(Legacy) Killed Silveran(Superstar).
Nippy(Legacy) Killed Bisho(Superstar).
